"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 01:46:32 GMT 2023","Mon Aug 28 01:46:34 GMT 2023","1973","chromium","","User analytics test","","","Click Follow Top",""
"passed","Mon Aug 28 01:46:42 GMT 2023","Mon Aug 28 01:46:46 GMT 2023","3810","chromium","","API test ","","","Abusive Word CRUD",""
"passed","Mon Aug 28 01:46:54 GMT 2023","Mon Aug 28 01:46:56 GMT 2023","2607","chromium","","Profile API test","","","Allow to start premium CRUD",""
"passed","Mon Aug 28 01:46:44 GMT 2023","Mon Aug 28 01:46:47 GMT 2023","3371","chromium","","API test ","","","Updated Users List",""
"passed","Mon Aug 28 01:46:41 GMT 2023","Mon Aug 28 01:46:44 GMT 2023","3023","chromium","","API Gift Tests with Two user","","","Get gift reccomendation and premium",""
"passed","Mon Aug 28 01:46:34 GMT 2023","Mon Aug 28 01:46:36 GMT 2023","1784","chromium","","User analytics test","","","Show Coin Shop",""
"passed","Mon Aug 28 01:46:52 GMT 2023","Mon Aug 28 01:46:54 GMT 2023","2612","chromium","","Profile API test","","","Search and Preview Other Profile",""
"passed","Mon Aug 28 01:46:31 GMT 2023","Mon Aug 28 01:46:32 GMT 2023","1304","chromium","","Device analytics test","","","Show Registration Modal",""
"passed","Mon Aug 28 01:46:41 GMT 2023","Mon Aug 28 01:46:44 GMT 2023","2996","chromium","","API Gift Tests with Two user","","","Get gift list",""
"passed","Mon Aug 28 01:47:06 GMT 2023","Mon Aug 28 01:47:09 GMT 2023","3608","chromium","","Stream API test","","","Get list of my Streams",""
"passed","Mon Aug 28 01:46:41 GMT 2023","Mon Aug 28 01:46:48 GMT 2023","7051","chromium","","API Gift Tests with Two user","","","My top/stream gifters",""
"passed","Mon Aug 28 01:46:36 GMT 2023","Mon Aug 28 01:46:38 GMT 2023","1775","chromium","","User analytics test","","","Click Premium Join",""
"passed","Mon Aug 28 01:46:32 GMT 2023","Mon Aug 28 01:46:34 GMT 2023","2015","chromium","","User analytics test","","","Pageview stream",""
"passed","Mon Aug 28 01:46:54 GMT 2023","Mon Aug 28 01:46:57 GMT 2023","2484","chromium","","Profile API test","","","Add Diamonds",""
"passed","Mon Aug 28 01:47:09 GMT 2023","Mon Aug 28 01:47:11 GMT 2023","1931","chromium","","Other API test","","","Get Coins For Last 30 Days",""
"passed","Mon Aug 28 01:46:47 GMT 2023","Mon Aug 28 01:46:51 GMT 2023","3878","chromium","","Payouts API test ","","","Payouts Request/History/Status",""
"passed","Mon Aug 28 01:46:46 GMT 2023","Mon Aug 28 01:46:52 GMT 2023","5547","chromium","","API test ","","","Admin Moderator Actions",""
"passed","Mon Aug 28 01:46:58 GMT 2023","Mon Aug 28 01:47:03 GMT 2023","4444","chromium","","Payouts API test ","","","Report nudity",""
"passed","Mon Aug 28 01:47:12 GMT 2023","Mon Aug 28 01:47:13 GMT 2023","1373","chromium","","API test ","","","Notifications Content CRUD",""
"passed","Mon Aug 28 01:46:32 GMT 2023","Mon Aug 28 01:46:34 GMT 2023","1988","chromium","","User analytics test","","","Click Follow",""
"passed","Mon Aug 28 01:46:41 GMT 2023","Mon Aug 28 01:46:42 GMT 2023","1822","chromium","","API following tests","","","Following Counter",""
"passed","Mon Aug 28 01:46:57 GMT 2023","Mon Aug 28 01:47:01 GMT 2023","4487","chromium","","Payouts API test ","","","Report sharingPrivateInformation",""
"passed","Mon Aug 28 01:46:36 GMT 2023","Mon Aug 28 01:46:37 GMT 2023","1763","chromium","","User analytics test","","","Show Paying Menu Success",""
"passed","Mon Aug 28 01:46:33 GMT 2023","Mon Aug 28 01:46:36 GMT 2023","2260","chromium","","User analytics test","","","Show Gift Sent",""
"passed","Mon Aug 28 01:46:51 GMT 2023","Mon Aug 28 01:46:54 GMT 2023","2629","chromium","","Profile API test","","","Edit Profile",""
"skipped","Mon Aug 28 01:47:09 GMT 2023","Mon Aug 28 01:47:09 GMT 2023","1","chromium","","Stream API test","","","Stream Gifts CRUD",""
"passed","Mon Aug 28 01:47:05 GMT 2023","Mon Aug 28 01:47:09 GMT 2023","4652","chromium","","Stream API test","","","Get Stream",""
"passed","Mon Aug 28 01:46:38 GMT 2023","Mon Aug 28 01:46:39 GMT 2023","1569","chromium","","API test ","","","Add Media Source snapchat",""
"passed","Mon Aug 28 01:46:31 GMT 2023","Mon Aug 28 01:46:33 GMT 2023","2233","chromium","","User analytics test","","","Pageview Follow Top",""
"passed","Mon Aug 28 01:46:36 GMT 2023","Mon Aug 28 01:46:38 GMT 2023","1862","chromium","","User analytics test","","","Click Room Join",""
"passed","Mon Aug 28 01:47:00 GMT 2023","Mon Aug 28 01:47:05 GMT 2023","4484","chromium","","Payouts API test ","","","Report harassmentHatefulSpeechBullying",""
"passed","Mon Aug 28 01:47:01 GMT 2023","Mon Aug 28 01:47:05 GMT 2023","4545","chromium","","Payouts API test ","","","Report displayOfCriminalActivitiesOrWeapon",""
"skipped","Mon Aug 28 01:46:41 GMT 2023","Mon Aug 28 01:46:41 GMT 2023","0","chromium","","API Gift Tests with Two user","","","Sent Gift",""
"skipped","Mon Aug 28 01:46:55 GMT 2023","Mon Aug 28 01:46:55 GMT 2023","2","chromium","","Profile API test","","","Profile > KYC",""
"passed","Mon Aug 28 01:46:31 GMT 2023","Mon Aug 28 01:46:34 GMT 2023","2367","chromium","","User analytics test","","","Create account success",""
"passed","Mon Aug 28 01:46:44 GMT 2023","Mon Aug 28 01:46:50 GMT 2023","5206","chromium","","API test ","","","Admin Refferal Earnings",""
"passed","Mon Aug 28 01:46:54 GMT 2023","Mon Aug 28 01:46:56 GMT 2023","2574","chromium","","Profile API test","","","Invite to stream CRUD",""
"passed","Mon Aug 28 01:47:05 GMT 2023","Mon Aug 28 01:47:12 GMT 2023","6919","chromium","","Stream API test","","","Send Invite To Stream",""
"passed","Mon Aug 28 01:46:31 GMT 2023","Mon Aug 28 01:46:32 GMT 2023","1411","chromium","","Device analytics test","","","Close Registration Modal",""
"passed","Mon Aug 28 01:46:37 GMT 2023","Mon Aug 28 01:46:41 GMT 2023","3085","chromium","","Blocked API test ","","","block user CRUD",""
"passed","Mon Aug 28 01:47:11 GMT 2023","Mon Aug 28 01:47:13 GMT 2023","2146","chromium","","Other API test","","","Snap",""
"passed","Mon Aug 28 01:47:12 GMT 2023","Mon Aug 28 01:47:13 GMT 2023","1964","chromium","","Other API test","","","Get shop list",""
"passed","Mon Aug 28 01:47:11 GMT 2023","Mon Aug 28 01:47:13 GMT 2023","1888","chromium","","Other API test","","","Get Agent Mounthly Bonus",""
"passed","Mon Aug 28 01:47:11 GMT 2023","Mon Aug 28 01:47:13 GMT 2023","1931","chromium","","Other API test","","","Get Mounthly Bonus",""
"passed","Mon Aug 28 01:46:55 GMT 2023","Mon Aug 28 01:46:58 GMT 2023","3543","chromium","","API test ","","","Referral CRUD ",""
